id,title,description,link,image_link,availability,price,google_product_category,brand,gtin,mpn,identifier_exists,condition,item_group_id
4882,JOLLITY-207,"Semi-precious Stones: Hematite Other Materials: Polymer Clay Hoops: 18K Gold-Plated Stainless Steel Length: 3,5cm",https://www.precious-joy.com/product/jollity-207/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4882,https://www.precious-joy.com/wp-content/uploads/JOLLITY-207a.jpg,"in stock","30 EUR",,,jollity-207,,,New,
4869,JOLLITY-202,"Semi-precious Stones: Marble, Hematite Other materials: Brass, Handmade 18K Gold-Plated Stainless-Steel chain Hooks: 18K Gold-Plated Brass Length: 7,5cm",https://www.precious-joy.com/product/jollity-202/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4869,https://www.precious-joy.com/wp-content/uploads/JOLLITY-202a.jpg,"in stock","60 EUR",,,jollity-202,,,New,
4862,GLEE-200,"Semi-precious Stones: Hematite Other materials: Brass Studs and Ear Nuts: 18K Gold-Plated Brass with 925 Sterling Silver Pins Length: 5,5cm",https://www.precious-joy.com/product/glee-200/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4862,https://www.precious-joy.com/wp-content/uploads/GLEE-200a.jpg,"in stock","75 EUR",,,glee-200,,,New,
4856,DELIGHT-205,"Semi-precious Stones: Hematite, Howlite Other materials: Brass, Silk tassels Hooks: 18K Gold-Plated Brass Length: 9cm",https://www.precious-joy.com/product/delight-205/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4856,https://www.precious-joy.com/wp-content/uploads/DELIGHT-205a.jpg,"in stock","70 EUR",,,delight-205,,,New,
4854,GRACE-208,"Semi-precious Stones: Hematite Other materials: Acrylic Hoops: 18K Gold-Plated Stainless Steel Length: 4,5cm",https://www.precious-joy.com/product/grace-208/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4854,https://www.precious-joy.com/wp-content/uploads/GRACE-208a.jpg,"in stock","35 EUR",,,grace-208,,,New,
4849,BLISS-207,"Semi-precious Stones: Turquoise Pins & Ear Nuts: 18K Gold-Plated Stainless Steel",https://www.precious-joy.com/product/bliss-207/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4849,https://www.precious-joy.com/wp-content/uploads/BLISS-207a.jpg,"in stock","25 EUR",,,bliss-207,,,New,
4848,BLISS-206,"Semi-precious Stones: Turquoise Pins & Ear Nuts: 18K Gold-Plated Stainless Steel",https://www.precious-joy.com/product/bliss-206/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4848,https://www.precious-joy.com/wp-content/uploads/BLISS-206a.jpg,"in stock","30 EUR",,,bliss-206,,,New,
4844,EUPHORIA-209,"Semi-precious Stones: Turquoise Pins and Ear nuts: 18K Gold-Plated Stainless Steel",https://www.precious-joy.com/product/euphoria-209/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4844,https://www.precious-joy.com/wp-content/uploads/EUPHORIA-209a.jpg,"in stock","30 EUR",,,euphoria-209,,,New,
4842,LAVISH-202,"Semi-precious Stones: Rose Quartz, Howlite Other materials: Glass, Brass, 18K Gold-Plated Stainless-Steel Memory Wire Studs: 18K Gold-Plated Brass Ear Nuts: 18K Gold-Plated Stainless Steel Length: 6,5cm",https://www.precious-joy.com/product/lavish-202/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4842,https://www.precious-joy.com/wp-content/uploads/LAVISH-202a.jpg,"in stock","110 EUR",,,lavish-202,,,New,
4825,JOLLITY-105,"Semi-precious Stones: Marble Other materials: Glass, Brass Chain: Black Aluminum Extension chain & Clasp: 10cm, 18K Gold-Plated Stainless Steel Length: 22cm",https://www.precious-joy.com/product/jollity-105/?utm_source=Pinterest&amp;utm_campaign=Pin&amp;utm_medium=cpc&amp;utm_term=4825,https://www.precious-joy.com/wp-content/uploads/JOLLITY-105b.jpg,"in stock","65 EUR",,,jollity-105,,,New,
